depth,ion,spr,dose
21.3,99.1,1.002,98.2
21.4,99.1,1.002,98.2
21.5,99.1,1.003,98.2
21.6,99.1,1.003,98.2
21.7,99.1,1.003,98.3
21.8,99.1,1.003,98.3
21.9,99.2,1.003,98.4
22.0,99.2,1.003,98.5
22.1,99.3,1.004,98.6
22.2,99.4,1.004,98.7
22.3,99.4,1.004,98.7
22.4,99.5,1.004,98.8
22.5,99.6,1.004,98.9
22.6,99.7,1.004,99.0
22.7,99.8,1.004,99.2
22.8,99.9,1.005,99.3
22.9,99.9,1.005,99.3
23.0,99.8,1.005,99.2
23.1,99.7,1.005,99.1
23.2,99.6,1.005,99.0
23.3,99.5,1.005,99.0
23.4,99.4,1.006,98.9
23.5,99.3,1.006,98.8
23.6,99.2,1.006,98.7
23.7,99.2,1.006,98.7
23.8,99.1,1.006,98.6
23.9,99.1,1.006,98.6
24.0,99.1,1.007,98.6
24.1,99.1,1.007,98.6
24.2,99.1,1.007,98.6
24.3,99.1,1.007,98.7
24.4,99.0,1.007,98.6
24.5,99.0,1.007,98.6
24.6,99.0,1.007,98.6
24.7,99.0,1.008,98.6
24.8,99.0,1.008,98.6
24.9,99.0,1.008,98.7
25.0,99.0,1.008,98.7
25.1,99.1,1.008,98.8
25.2,99.1,1.008,98.8
25.3,99.2,1.009,98.9
25.4,99.2,1.009,98.9
25.5,99.2,1.009,98.9
25.6,99.2,1.009,99.0
25.7,99.2,1.009,99.1
25.8,99.2,1.009,99.1
25.9,99.3,1.01,99.2
26.0,99.3,1.01,99.2
26.1,99.4,1.01,99.3
26.2,99.4,1.01,99.3
26.3,99.5,1.01,99.4
26.4,99.6,1.01,99.5
26.5,99.6,1.011,99.6
26.6,99.7,1.011,99.7
26.7,99.7,1.011,99.7
26.8,99.8,1.011,99.8
26.9,99.7,1.011,99.7
27.0,99.6,1.011,99.6
27.1,99.5,1.012,99.6
27.2,99.4,1.012,99.5
27.3,99.3,1.012,99.4
27.4,99.2,1.012,99.2
27.5,99.1,1.012,99.2
27.6,99.0,1.012,99.1
27.7,98.9,1.012,99.0
27.8,98.8,1.013,98.9
27.9,98.7,1.013,98.9
28.0,98.7,1.013,98.9
28.1,98.7,1.013,98.9
28.2,98.7,1.013,98.9
28.3,98.7,1.013,98.9
28.4,98.7,1.014,98.9
28.5,98.7,1.014,98.9
28.6,98.7,1.014,99.0
28.7,98.7,1.014,99.0
28.8,98.7,1.014,99.0
28.9,98.7,1.014,99.0
29.0,98.7,1.015,99.0
29.1,98.7,1.015,99.0
29.2,98.7,1.015,99.1
29.3,98.7,1.015,99.1
29.4,98.7,1.015,99.1
29.5,98.7,1.015,99.1
29.6,98.6,1.016,99.0
29.7,98.6,1.016,99.0
29.8,98.6,1.016,99.1
29.9,98.7,1.016,99.2
30.0,98.7,1.016,99.2
30.1,98.8,1.016,99.3
30.2,98.9,1.017,99.4
30.3,99.0,1.017,99.5
30.4,99.1,1.017,99.6
30.5,99.1,1.017,99.7
30.6,99.2,1.017,99.8
30.7,99.2,1.017,99.9
30.8,99.3,1.018,100.0
30.9,99.3,1.018,100.0
31.0,99.2,1.018,99.8
31.1,99.1,1.018,99.7
31.2,99.0,1.018,99.7
31.3,98.9,1.019,99.6
31.4,98.8,1.019,99.5
31.5,98.7,1.019,99.4
31.6,98.6,1.019,99.4
31.7,98.5,1.019,99.3
31.8,98.3,1.019,99.1
31.9,98.3,1.02,99.1
32.0,98.2,1.02,99.0
32.1,98.2,1.02,99.1
32.2,98.2,1.02,99.1
32.3,98.2,1.02,99.1
32.4,98.2,1.02,99.1
32.5,98.1,1.021,99.0
32.6,98.1,1.021,99.1
32.7,98.1,1.021,99.1
32.8,98.1,1.021,99.1
32.9,98.1,1.021,99.1
33.0,98.2,1.021,99.2
33.1,98.3,1.022,99.3
33.2,98.3,1.022,99.3
33.3,98.4,1.022,99.5
33.4,98.5,1.022,99.6
33.5,98.6,1.022,99.7
33.6,98.6,1.022,99.7
33.7,98.7,1.023,99.8
33.8,98.8,1.023,99.9
33.9,98.8,1.023,99.9
