depth,ion
-0.5,101.3
-0.4,101.3
-0.3,101.3
-0.2,101.2
-0.1,101.2
0,101.1
0.1,101.1
0.2,101.1
0.3,101
0.4,101
0.5,101
0.6,100.9
0.7,100.9
0.8,100.9
0.9,100.9
1,100.9
1.1,100.9
1.2,100.9
1.3,100.9
1.4,100.9
1.5,100.9
1.6,101
1.7,101
1.8,101
1.9,101.1
2,101.2
2.1,101.3
2.2,101.4
2.3,101.5
2.4,101.6
2.5,101.7
2.6,101.8
2.7,101.9
2.8,102
2.9,102.1
3,102.2
3.1,102.2
3.2,102.3
3.3,102.4
3.4,102.5
3.5,102.6
3.6,102.6
3.7,102.7
3.8,102.8
3.9,103
4,103.1
4.1,103.2
4.2,103.4
4.3,103.5
4.4,103.7
4.5,103.8
4.6,104
4.7,104.1
4.8,104.2
4.9,104.3
5,104.3
5.1,104.4
5.2,104.4
5.3,104.5
5.4,104.5
5.5,104.6
5.6,104.6
5.7,104.7
5.8,104.7
5.9,104.8
6,104.8
6.1,104.9
6.2,104.9
6.3,105
6.4,105
6.5,105
6.6,105.1
6.7,105.1
6.8,105.1
6.9,105.1
7,105
7.1,105
7.2,104.9
7.3,104.9
7.4,104.8
7.5,104.8
7.6,104.7
7.7,104.7
7.8,104.6
7.9,104.6
8,104.6
8.1,104.6
8.2,104.6
8.3,104.6
8.4,104.6
8.5,104.7
8.6,104.7
8.7,104.7
8.8,104.7
8.9,104.7
9,104.7
9.1,104.7
9.2,104.8
9.3,104.8
9.4,104.8
9.5,104.8
9.6,104.9
9.7,104.9
9.8,104.9
9.9,104.9
10,104.9
10.1,105
10.2,105
10.3,105
10.4,105
10.5,105
10.6,105
10.7,105.1
10.8,105.1
10.9,105.1
11,105.1
11.1,105.1
11.2,105.1
11.3,105.1
11.4,105.1
11.5,105.1
11.6,105.1
11.7,105.1
11.8,105.2
11.9,105.3
12,105.4
12.1,105.5
12.2,105.6
12.3,105.7
12.4,105.8
12.5,105.9
12.6,106.1
12.7,106.2
12.8,106.3
12.9,106.2
13,106.1
13.1,106
13.2,105.9
13.3,105.8
13.4,105.8
13.5,105.7
13.6,105.6
13.7,105.5
13.8,105.4
13.9,105.4
14,105.4
14.1,105.4
14.2,105.4
14.3,105.5
14.4,105.5
14.5,105.5
14.6,105.5
14.7,105.5
14.8,105.5
14.9,105.5
15,105.5
15.1,105.5
15.2,105.5
15.3,105.5
15.4,105.5
15.5,105.5
15.6,105.5
15.7,105.5
15.8,105.6
15.9,105.6
16,105.7
16.1,105.8
16.2,105.9
16.3,106
16.4,106.1
16.5,106.2
16.6,106.3
16.7,106.5
16.8,106.6
16.9,106.5
17,106.4
17.1,106.3
17.2,106.2
17.3,106.1
17.4,106
17.5,105.9
17.6,105.8
17.7,105.7
17.8,105.6
17.9,105.6
18,105.6
18.1,105.6
18.2,105.6
18.3,105.6
18.4,105.6
18.5,105.6
18.6,105.6
18.7,105.6
18.8,105.6
18.9,105.7
19,105.8
19.1,105.9
19.2,106
19.3,106.1
19.4,106.2
19.5,106.3
19.6,106.4
19.7,106.5
19.8,106.6
19.9,106.6
20,106.5
20.1,106.4
20.2,106.3
20.3,106.2
20.4,106.1
20.5,106
20.6,105.9
20.7,105.8
20.8,105.7
20.9,105.6
21,105.6
21.1,105.6
21.2,105.6
21.3,105.6
21.4,105.6
21.5,105.6
21.6,105.6
21.7,105.6
21.8,105.6
21.9,105.7
22,105.8
22.1,105.9
22.2,106
22.3,106
22.4,106.1
22.5,106.2
22.6,106.3
22.7,106.4
22.8,106.5
22.9,106.5
23,106.4
23.1,106.3
23.2,106.2
23.3,106.1
23.4,106
23.5,105.9
23.6,105.8
23.7,105.7
23.8,105.6
23.9,105.6
24,105.6
24.1,105.6
24.2,105.6
24.3,105.6
24.4,105.5
24.5,105.5
24.6,105.5
24.7,105.5
24.8,105.5
24.9,105.5
25,105.5
25.1,105.6
25.2,105.6
25.3,105.7
25.4,105.7
25.5,105.7
25.6,105.8
25.7,105.8
25.8,105.8
25.9,105.9
26,105.9
26.1,106
26.2,106
26.3,106.1
26.4,106.2
26.5,106.2
26.6,106.3
26.7,106.3
26.8,106.4
26.9,106.3
27,106.2
27.1,106.1
27.2,106
27.3,105.9
27.4,105.7
27.5,105.6
27.6,105.5
27.7,105.4
27.8,105.3
27.9,105.2
28,105.2
28.1,105.2
28.2,105.2
28.3,105.2
28.4,105.2
28.5,105.2
28.6,105.2
28.7,105.2
28.8,105.2
28.9,105.2
29,105.2
29.1,105.2
29.2,105.2
29.3,105.2
29.4,105.2
29.5,105.2
29.6,105.1
29.7,105.1
29.8,105.1
29.9,105.2
30,105.2
30.1,105.3
30.2,105.4
30.3,105.5
30.4,105.6
30.5,105.6
30.6,105.7
30.7,105.8
30.8,105.9
30.9,105.9
31,105.7
31.1,105.6
31.2,105.5
31.3,105.4
31.4,105.3
31.5,105.2
31.6,105.1
31.7,105
31.8,104.8
31.9,104.8
32,104.7
32.1,104.7
32.2,104.7
32.3,104.7
32.4,104.7
32.5,104.6
32.6,104.6
32.7,104.6
32.8,104.6
32.9,104.6
33,104.7
33.1,104.8
33.2,104.8
33.3,104.9
33.4,105
33.5,105.1
33.6,105.1
33.7,105.2
33.8,105.3
33.9,105.3
34,105.2
34.1,105.1
34.2,105
34.3,104.9
34.4,104.9
34.5,104.8
34.6,104.7
34.7,104.6
34.8,104.5
34.9,104.5
35,104.5
35.1,104.4
35.2,104.4
35.3,104.3
35.4,104.3
35.5,104.3
35.6,104.2
35.7,104.2
35.8,104.1
35.9,104.1
36,104.2
36.1,104.2
36.2,104.2
36.3,104.3
36.4,104.3
36.5,104.3
36.6,104.3
36.7,104.4
36.8,104.4
36.9,104.4
37,104.2
37.1,104.1
37.2,104
37.3,103.9
37.4,103.7
37.5,103.6
37.6,103.5
37.7,103.3
37.8,103.2
37.9,103.1
38,103.1
38.1,103
38.2,103
38.3,102.9
38.4,102.9
38.5,102.8
38.6,102.8
38.7,102.7
38.8,102.7
38.9,102.6
39,102.6
39.1,102.5
39.2,102.5
39.3,102.4
39.4,102.4
39.5,102.3
39.6,102.3
39.7,102.2
39.8,102.2
39.9,102.1
40,102.1
40.1,102.1
40.2,102
40.3,102
40.4,101.9
40.5,101.9
40.6,101.8
40.7,101.8
40.8,101.7
40.9,101.7
41,101.6
41.1,101.5
41.2,101.5
41.3,101.4
41.4,101.3
41.5,101.3
41.6,101.2
41.7,101.1
41.8,101.1
41.9,101
42,100.9
42.1,100.9
42.2,100.8
42.3,100.7
42.4,100.7
42.5,100.6
42.6,100.5
42.7,100.5
42.8,100.4
42.9,100.3
43,100.3
43.1,100.2
43.2,100.1
43.3,100
43.4,99.9
43.5,99.9
43.6,99.8
43.7,99.7
43.8,99.6
43.9,99.6
44,99.6
44.1,99.6
44.2,99.6
44.3,99.6
44.4,99.6
44.5,99.6
44.6,99.6
44.7,99.6
44.8,99.6
