depth,ion
44.9,99.6
45,99.5
45.1,99.3
45.2,99.2
45.3,99.1
45.4,99
45.5,98.9
45.6,98.8
45.7,98.7
45.8,98.6
45.9,98.5
46,98.3
46.1,98.2
46.2,98
46.3,97.8
46.4,97.6
46.5,97.4
46.6,97.3
46.7,97.1
46.8,96.9
46.9,96.7
47,96.6
47.1,96.5
47.2,96.3
47.3,96.2
47.4,96
47.5,95.9
47.6,95.7
47.7,95.6
47.8,95.5
47.9,95.3
48,95.2
48.1,95.1
48.2,94.9
48.3,94.8
48.4,94.7
48.5,94.5
48.6,94.4
48.7,94.3
48.8,94.1
48.9,94
49,94
49.1,93.9
49.2,93.8
49.3,93.8
49.4,93.7
49.5,93.7
49.6,93.6
49.7,93.6
49.8,93.5
49.9,93.4
50,93.2
50.1,93
50.2,92.7
50.3,92.5
50.4,92.3
50.5,92
50.6,91.8
50.7,91.6
50.8,91.3
50.9,91.1
51,90.9
51.1,90.7
51.2,90.6
51.3,90.4
51.4,90.2
51.5,90
51.6,89.8
51.7,89.6
51.8,89.5
51.9,89.3
52,89.2
52.1,89.1
52.2,89
52.3,88.9
52.4,88.7
52.5,88.6
52.6,88.5
52.7,88.4
52.8,88.3
52.9,88.2
53,88
53.1,87.7
53.2,87.4
53.3,87.1
53.4,86.8
53.5,86.6
53.6,86.3
53.7,86
53.8,85.7
53.9,85.4
54,85.2
54.1,85
54.2,84.8
54.3,84.5
54.4,84.3
54.5,84.1
54.6,83.9
54.7,83.7
54.8,83.4
54.9,83.2
55,83.1
55.1,82.9
55.2,82.8
55.3,82.6
55.4,82.5
55.5,82.3
55.6,82.2
55.7,82
55.8,81.9
55.9,81.7
56,81.4
56.1,81.1
56.2,80.8
56.3,80.5
56.4,80.2
56.5,79.9
56.6,79.6
56.7,79.3
56.8,79
56.9,78.6
57,78.4
57.1,78.1
57.2,77.8
57.3,77.6
57.4,77.3
57.5,77
57.6,76.7
57.7,76.5
57.8,76.2
57.9,75.9
58,75.7
58.1,75.4
58.2,75.1
58.3,74.8
58.4,74.5
58.5,74.3
58.6,74
58.7,73.7
58.8,73.4
58.9,73.2
59,72.9
59.1,72.7
59.2,72.5
59.3,72.2
59.4,72
59.5,71.8
59.6,71.5
59.7,71.3
59.8,71.1
59.9,70.9
60,70.6
60.1,70.3
60.2,70
60.3,69.7
60.4,69.4
60.5,69.1
60.6,68.8
60.7,68.5
60.8,68.2
60.9,67.9
61,67.5
61.1,67.2
61.2,66.8
61.3,66.4
61.4,66
61.5,65.7
61.6,65.3
61.7,64.9
61.8,64.5
61.9,64.2
62,63.9
62.1,63.6
62.2,63.4
62.3,63.1
62.4,62.8
62.5,62.6
62.6,62.3
62.7,62
62.8,61.8
62.9,61.5
63,61.2
63.1,60.8
63.2,60.4
63.3,60
63.4,59.7
63.5,59.3
63.6,58.9
63.7,58.5
63.8,58.1
63.9,57.7
64,57.4
64.1,57
64.2,56.7
64.3,56.3
64.4,56
64.5,55.6
64.6,55.2
64.7,54.9
64.8,54.5
64.9,54.2
65,53.9
65.1,53.6
65.2,53.3
65.3,53
65.4,52.7
65.5,52.4
65.6,52.1
65.7,51.8
65.8,51.5
65.9,51.2
66,50.9
66.1,50.5
66.2,50.1
66.3,49.7
66.4,49.3
66.5,49
66.6,48.6
66.7,48.2
66.8,47.8
66.9,47.4
67,47.1
67.1,46.8
67.2,46.5
67.3,46.2
67.4,45.8
67.5,45.5
67.6,45.2
67.7,44.9
67.8,44.6
67.9,44.3
68,44
68.1,43.6
68.2,43.2
68.3,42.8
68.4,42.4
68.5,42
68.6,41.6
68.7,41.2
68.8,40.9
68.9,40.5
69,40.1
69.1,39.8
69.2,39.4
69.3,39.1
69.4,38.7
69.5,38.4
69.6,38
69.7,37.7
69.8,37.4
69.9,37
70,36.7
70.1,36.3
70.2,36
70.3,35.7
70.4,35.3
70.5,35
70.6,34.7
70.7,34.4
70.8,34
70.9,33.7
71,33.4
71.1,33
71.2,32.7
71.3,32.4
71.4,32.1
71.5,31.7
71.6,31.4
71.7,31.1
71.8,30.8
71.9,30.4
72,30.1
72.1,29.8
72.2,29.5
72.3,29.2
72.4,28.8
72.5,28.5
72.6,28.2
72.7,27.9
72.8,27.6
72.9,27.3
73,27
73.1,26.7
73.2,26.4
73.3,26.1
73.4,25.8
73.5,25.5
73.6,25.2
73.7,24.9
73.8,24.7
73.9,24.4
74,24.1
74.1,23.8
74.2,23.5
74.3,23.2
74.4,22.9
74.5,22.6
74.6,22.3
74.7,22
74.8,21.7
74.9,21.4
75,21.1
75.1,20.9
75.2,20.6
75.3,20.4
75.4,20.2
75.5,19.9
75.6,19.7
75.7,19.4
75.8,19.2
75.9,18.9
76,18.7
76.1,18.4
76.2,18.2
76.3,17.9
76.4,17.6
76.5,17.4
76.6,17.1
76.7,16.9
76.8,16.6
76.9,16.3
77,16.1
77.1,15.9
77.2,15.7
77.3,15.5
77.4,15.2
77.5,15
77.6,14.8
77.7,14.6
77.8,14.4
77.9,14.2
78,14
78.1,13.8
78.2,13.6
78.3,13.4
78.4,13.2
78.5,13
78.6,12.7
78.7,12.5
78.8,12.3
78.9,12.1
79,11.9
79.1,11.8
79.2,11.6
79.3,11.4
79.4,11.3
79.5,11.1
79.6,11
79.7,10.8
79.8,10.6
79.9,10.5
80,10.3
80.1,10.2
80.2,10
80.3,9.8
80.4,9.7
80.5,9.5
80.6,9.4
80.7,9.2
80.8,9
80.9,8.9
81,8.7
81.1,8.6
81.2,8.5
81.3,8.4
81.4,8.3
81.5,8.2
81.6,8
81.7,7.9
81.8,7.8
81.9,7.7
82,7.6
82.1,7.5
82.2,7.3
82.3,7.2
82.4,7.1
82.5,7
82.6,6.9
82.7,6.8
82.8,6.7
82.9,6.6
83,6.5
83.1,6.4
83.2,6.3
83.3,6.2
83.4,6.1
83.5,6.1
83.6,6
83.7,5.9
83.8,5.8
83.9,5.7
84,5.6
84.1,5.6
84.2,5.5
84.3,5.4
84.4,5.4
84.5,5.3
84.6,5.2
84.7,5.2
84.8,5.1
84.9,5
85,5
85.1,4.9
85.2,4.9
85.3,4.8
85.4,4.8
85.5,4.7
85.6,4.7
85.7,4.7
85.8,4.6
85.9,4.6
86,4.5
86.1,4.5
86.2,4.4
86.3,4.4
86.4,4.4
86.5,4.3
86.6,4.3
86.7,4.2
86.8,4.2
86.9,4.2
87,4.1
87.1,4.1
87.2,4.1
87.3,4.1
87.4,4
87.5,4
87.6,4
87.7,4
87.8,3.9
87.9,3.9
88,3.9
88.1,3.9
88.2,3.8
88.3,3.8
88.4,3.8
88.5,3.8
88.6,3.7
88.7,3.7
88.8,3.7
88.9,3.7
89,3.7
89.1,3.6
89.2,3.6
89.3,3.6
89.4,3.6
89.5,3.6
89.6,3.6
89.7,3.6
89.8,3.6
89.9,3.6
90,3.6
90.1,3.6
90.2,3.5
90.3,3.5
90.4,3.5
90.5,3.5
90.6,3.5
90.7,3.5
90.8,3.5
90.9,3.4
91,3.4
91.1,3.4
91.2,3.4
91.3,3.4
91.4,3.4
91.5,3.4
91.6,3.4
91.7,3.4
91.8,3.4
91.9,3.4
92,3.4
92.1,3.4
92.2,3.4
92.3,3.4
92.4,3.4
92.5,3.4
92.6,3.3
92.7,3.3
92.8,3.3
92.9,3.3
93,3.3
93.1,3.3
93.2,3.3
93.3,3.3
93.4,3.3
93.5,3.3
93.6,3.3
93.7,3.3
93.8,3.3
93.9,3.3
94,3.3
94.1,3.3
94.2,3.3
94.3,3.3
94.4,3.3
94.5,3.3
94.6,3.3
94.7,3.3
94.8,3.3
94.9,3.3
95,3.3
95.1,3.3
95.2,3.3
95.3,3.3
95.4,3.3
95.5,3.3
95.6,3.3
95.7,3.3
95.8,3.3
95.9,3.3
96,3.3
96.1,3.3
96.2,3.3
96.3,3.3
96.4,3.3
96.5,3.3
96.6,3.3
96.7,3.3
96.8,3.3
96.9,3.3
97,3.3
97.1,3.3
97.2,3.3
97.3,3.3
97.4,3.2
97.5,3.2
97.6,3.2
97.7,3.2
97.8,3.2
97.9,3.2
98,3.2
98.1,3.2
98.2,3.2
98.3,3.2
98.4,3.2
98.5,3.2
98.6,3.2
98.7,3.2
98.8,3.2
98.9,3.2
99,3.2
99.1,3.2
99.2,3.2
99.3,3.2
99.4,3.2
99.5,3.2
99.6,3.2
99.7,3.2
99.8,3.2
99.9,3.2
100,3.2
