depth,ion,spr,dose
0.5,83.0,1.034,80.2
0.6,82.9,1.034,80.1
0.7,82.9,1.034,80.2
0.8,82.9,1.034,80.2
0.9,82.9,1.035,80.2
1.0,82.9,1.035,80.2
1.1,82.9,1.035,80.2
1.2,82.9,1.036,80.3
1.3,82.9,1.036,80.3
1.4,82.9,1.036,80.3
1.5,82.9,1.036,80.3
1.6,82.9,1.037,80.4
1.7,82.9,1.037,80.4
1.8,83.0,1.037,80.5
1.9,83.0,1.038,80.5
2.0,83.3,1.038,80.8
2.1,83.5,1.038,81.0
2.2,83.7,1.038,81.3
2.3,84.0,1.039,81.6
2.4,84.2,1.039,81.8
2.5,84.4,1.039,82.0
2.6,84.7,1.04,82.3
2.7,84.9,1.04,82.5
2.8,85.1,1.04,82.8
2.9,85.4,1.04,83.1
3.0,85.5,1.041,83.2
3.1,85.7,1.041,83.4
3.2,85.8,1.041,83.5
3.3,86.0,1.042,83.8
3.4,86.2,1.042,84.0
3.5,86.3,1.042,84.1
3.6,86.5,1.043,84.3
3.7,86.7,1.043,84.5
3.8,86.8,1.043,84.7
3.9,87.0,1.043,84.9
4.0,87.2,1.044,85.1
4.1,87.3,1.044,85.2
4.2,87.5,1.044,85.4
4.3,87.6,1.045,85.6
4.4,87.8,1.045,85.8
4.5,88.0,1.045,86.0
4.6,88.1,1.046,86.1
4.7,88.3,1.046,86.3
4.8,88.4,1.046,86.5
4.9,88.6,1.046,86.7
5.0,88.8,1.047,86.9
5.1,88.9,1.047,87.0
5.2,89.1,1.047,87.3
5.3,89.3,1.048,87.5
5.4,89.5,1.048,87.7
5.5,89.6,1.048,87.8
5.6,89.8,1.049,88.0
5.7,90.0,1.049,88.3
5.8,90.2,1.049,88.5
5.9,90.3,1.05,88.6
6.0,90.5,1.05,88.8
6.1,90.6,1.05,89.0
6.2,90.8,1.05,89.2
6.3,90.9,1.051,89.3
6.4,91.1,1.051,89.5
6.5,91.2,1.051,89.7
6.6,91.3,1.052,89.8
6.7,91.5,1.052,90.0
6.8,91.6,1.052,90.1
6.9,91.8,1.053,90.4
7.0,92.0,1.053,90.6
7.1,92.3,1.053,90.9
7.2,92.6,1.054,91.2
7.3,92.9,1.054,91.6
7.4,93.1,1.054,91.8
7.5,93.4,1.055,92.1
7.6,93.7,1.055,92.4
7.7,93.9,1.055,92.6
7.8,94.2,1.055,93.0
7.9,94.5,1.056,93.3
8.0,94.6,1.056,93.4
8.1,94.6,1.056,93.5
8.2,94.7,1.057,93.6
8.3,94.8,1.057,93.7
8.4,94.9,1.057,93.8
8.5,95.0,1.058,94.0
8.6,95.1,1.058,94.1
8.7,95.2,1.058,94.2
8.8,95.3,1.059,94.3
8.9,95.3,1.059,94.4
9.0,95.6,1.059,94.7
9.1,95.8,1.06,94.9
9.2,96.1,1.06,95.3
9.3,96.3,1.06,95.5
9.4,96.6,1.061,95.8
9.5,96.8,1.061,96.0
9.6,97.1,1.061,96.4
9.7,97.3,1.062,96.6
9.8,97.6,1.062,96.9
9.9,97.8,1.062,97.2
10.0,98.0,1.063,97.4
10.1,98.0,1.063,97.4
10.2,98.1,1.063,97.5
10.3,98.2,1.064,97.7
10.4,98.2,1.064,97.7
10.5,98.3,1.064,97.8
10.6,98.4,1.065,98.0
10.7,98.4,1.065,98.0
10.8,98.5,1.065,98.1
10.9,98.6,1.066,98.3
11.0,98.7,1.066,98.4
11.1,98.8,1.066,98.5
11.2,99.0,1.067,98.7
11.3,99.1,1.067,98.9
11.4,99.3,1.067,99.1
11.5,99.4,1.068,99.2
11.6,99.5,1.068,99.4
11.7,99.7,1.068,99.6
11.8,99.8,1.069,99.7
11.9,100.0,1.069,100.0
12.0,100.0,1.069,100.0
12.1,99.9,1.07,99.9
12.2,99.8,1.07,99.9
12.3,99.8,1.07,99.9
12.4,99.7,1.071,99.8
12.5,99.6,1.071,99.8
12.6,99.6,1.071,99.8
12.7,99.5,1.072,99.7
12.8,99.4,1.072,99.7
12.9,99.4,1.072,99.7
13.0,99.3,1.073,99.6
13.1,99.3,1.073,99.7
13.2,99.3,1.073,99.7
13.3,99.2,1.074,99.6
13.4,99.2,1.074,99.6
13.5,99.2,1.075,99.7
13.6,99.1,1.075,99.6
13.7,99.1,1.075,99.6
13.8,99.1,1.076,99.7
13.9,99.0,1.076,99.6
14.0,99.0,1.076,99.6
14.1,99.0,1.077,99.7
14.2,99.0,1.077,99.7
14.3,99.0,1.077,99.7
14.4,99.0,1.078,99.8
14.5,99.0,1.078,99.8
14.6,99.0,1.078,99.8
14.7,99.0,1.079,99.9
14.8,98.9,1.079,99.8
14.9,98.9,1.08,99.8
15.0,98.7,1.08,99.7
15.1,98.4,1.08,99.4
15.2,98.1,1.081,99.1
15.3,97.7,1.081,98.8
15.4,97.4,1.081,98.5
15.5,97.1,1.082,98.2
15.6,96.8,1.082,97.9
15.7,96.5,1.082,97.7
15.8,96.2,1.083,97.4
15.9,95.9,1.083,97.1
16.0,95.6,1.084,96.9
16.1,95.3,1.084,96.6
16.2,95.0,1.084,96.3
16.3,94.7,1.085,96.0
16.4,94.4,1.085,95.8
16.5,94.1,1.085,95.5
16.6,93.9,1.086,95.3
16.7,93.6,1.086,95.1
16.8,93.3,1.086,94.8
16.9,93.0,1.087,94.5
17.0,92.6,1.087,94.1
17.1,92.2,1.088,93.8
17.2,91.8,1.088,93.4
17.3,91.5,1.088,93.1
17.4,91.1,1.089,92.7
17.5,90.7,1.089,92.4
17.6,90.3,1.089,92.0
17.7,90.0,1.09,91.7
17.8,89.6,1.09,91.3
17.9,89.2,1.091,91.0
18.0,88.7,1.091,90.5
18.1,88.3,1.091,90.1
18.2,87.8,1.092,89.6
18.3,87.3,1.092,89.1
18.4,86.8,1.092,88.7
18.5,86.3,1.093,88.2
18.6,85.8,1.093,87.7
18.7,85.3,1.094,87.2
18.8,84.9,1.094,86.8
18.9,84.4,1.094,86.4
19.0,83.8,1.095,85.8
19.1,83.2,1.095,85.2
19.2,82.6,1.096,84.6
19.3,82.1,1.096,84.1
19.4,81.5,1.096,83.5
19.5,80.9,1.097,83.0
19.6,80.3,1.097,82.4
19.7,79.7,1.098,81.8
19.8,79.1,1.098,81.2
19.9,78.5,1.098,80.6
20.0,77.9,1.099,80.0
20.1,77.2,1.099,79.3
20.2,76.6,1.1,78.7
20.3,75.9,1.1,78.0
20.4,75.2,1.1,77.4
20.5,74.6,1.101,76.8
20.6,73.9,1.101,76.1
20.7,73.3,1.101,75.5
20.8,72.6,1.102,74.8
20.9,71.9,1.102,74.1
21.0,71.2,1.103,73.4
21.1,70.5,1.103,72.7
21.2,69.8,1.104,72.0
21.3,69.0,1.104,71.2
21.4,68.3,1.104,70.5
21.5,67.6,1.105,69.8
21.6,66.8,1.105,69.0
21.7,66.1,1.106,68.3
21.8,65.4,1.106,67.6
21.9,64.6,1.106,66.8
22.0,63.9,1.107,66.1
22.1,63.0,1.107,65.2
22.2,62.2,1.108,64.4
22.3,61.4,1.108,63.6
22.4,60.6,1.108,62.8
22.5,59.7,1.109,61.9
22.6,58.9,1.109,61.1
22.7,58.1,1.11,60.2
22.8,57.3,1.11,59.4
22.9,56.5,1.11,58.6
23.0,55.6,1.111,57.7
23.1,54.8,1.111,56.9
23.2,53.9,1.112,56.0
23.3,53.1,1.112,55.2
23.4,52.3,1.113,54.4
23.5,51.4,1.113,53.4
23.6,50.6,1.113,52.6
23.7,49.7,1.114,51.8
23.8,48.8,1.114,50.9
23.9,48.0,1.115,50.1
24.0,47.2,1.115,49.3
24.1,46.4,1.116,48.5
24.2,45.6,1.116,47.6
24.3,44.8,1.116,46.8
24.4,44.0,1.117,46.0
24.5,43.3,1.117,45.3
24.6,42.5,1.118,44.5
24.7,41.7,1.118,43.6
24.8,40.9,1.119,42.8
24.9,40.1,1.119,42.0
25.0,39.3,1.119,41.2
25.1,38.5,1.12,40.4
25.2,37.7,1.12,39.5
25.3,36.9,1.121,38.7
25.4,36.1,1.121,37.9
25.5,35.3,1.122,37.1
25.6,34.5,1.122,36.2
25.7,33.7,1.122,35.4
25.8,32.9,1.123,34.6
25.9,32.1,1.123,33.8
26.0,31.3,1.124,32.9
26.1,30.5,1.124,32.1
26.2,29.8,1.125,31.4
26.3,29.0,1.125,30.5
26.4,28.2,1.126,29.7
26.5,27.4,1.126,28.9
26.6,26.6,1.126,28.0
26.7,25.8,1.127,27.2
26.8,25.0,1.127,26.4
26.9,24.2,1.128,25.5
27.0,23.5,1.128,24.8
27.1,22.8,1.129,24.1
27.2,22.2,1.129,23.5
27.3,21.5,1.13,22.7
27.4,20.8,1.13,22.0
27.5,20.1,1.131,21.3
27.6,19.5,1.131,20.6
27.7,18.8,1.131,19.9
27.8,18.1,1.132,19.2
27.9,17.4,1.132,18.4
28.0,16.8,1.133,17.8
